Modelo,R²,MAE,MSE,RMSE,Tempo (s)
Ridge Regression,0.9677131128010108,2109.6592607704097,10100840.023810362,3178.181873935216,0.0018703937530517578
Lasso Regression,0.9639241106329918,2128.5784460170926,11286216.133720042,3359.496410731829,0.006575584411621094
Support Vector Regression (SVR),-0.39253276395779135,11342.486483687064,435649017.198922,20872.206811904725,0.0030498504638671875
Decision Tree Regression,0.8791477122650937,3226.596968005952,37808216.61123165,6148.838639225431,0.0030934810638427734
Gradient Boosting Regressor,0.8726044122870427,2638.9365648174694,39855265.18233588,6313.102658941631,0.1710205078125
Bagging Regressor,0.8228602557369832,3329.1418005666387,55417551.021004744,7444.296543059307,0.7229554653167725
Stacking Regressor,0.8446342324996661,3432.807821439836,48605638.351736695,6971.774404822398,0.46926259994506836
Random Forest Regressor,0.812777936404835,3292.165820165464,58571769.45077606,7653.219548057932,0.2032020092010498
