Data,Previsao
2025-04-27,30858.78
2025-05-04,30858.78
2025-05-11,30858.78
2025-05-18,30858.78
2025-05-25,30851.16
2025-06-01,30851.16
2025-06-08,30851.16
2025-06-15,30851.06
